prcp,tmean,DEM,Silt_100cm,Clay_100cm
1775.157837,19.72050667,28.37805557,22.39081764,13.81882477
903.7368164,6.896923542,374.390625,10.68466473,4.843985081
1550.789429,15.48014545,289.4581604,28.73778725,23.12718964
613.2368164,12.55245304,462.2417908,34.84554672,33.56079102
1229.184204,16.39699936,162.005249,42.03489304,28.16308594
413.9736938,5.614040375,1554.177734,28.16143227,21.03305817
1688,11.35993004,458.1921692,37.41836548,20.25720787
373,7.326893806,935.6343994,26.25454521,58.2178154
375.1842041,8.276342392,1160.535156,43.56152344,30.43691444
1078.263184,18.20789146,141.0020905,27.20624352,50.13113022
1388.947388,17.93401909,67.16832733,52.15785217,19.00367355
1119.394775,16.50614548,279.3855591,32.74659348,33.94576263
969.6315918,10.59241772,171.7724457,21.99609947,14.79781151
636.8157959,18.21882629,594.7807617,34.38530731,31.44628143
1207.131592,19.4318943,16.98740578,13.47603321,30.33415985
667,21.84991264,89.86574554,16.57878876,24.22690582
634.3421021,2.459185123,2300.18335,33.01377487,16.35124016
393.578949,11.04773426,1838.973511,31.20000076,39.79999924
869.5,15.50640106,311.4317627,46.96088028,34.76602173
1671.105225,19.59905243,39.23265457,7.556382179,6.381450653
1575.842163,18.70472145,35.70368576,25.69908142,17.24416924
1315.421021,19.54002953,45.64213943,6.849402905,7.552525043
1500.157837,16.34330368,98.77219391,28.60700989,25.5580368
1412.131592,17.25396538,37.65522385,35.16109467,20.79749298
546.5789185,6.071052074,2629.744873,25.28686905,28.90954971
1440.710571,17.67773056,56.3208847,42.45782852,44.70658112
1001.578918,19.43848419,132.8903046,17.07806396,21.68193436
382.2105408,6.994436264,2755.756348,39.82066345,16.29779625
1593.184204,19.50124168,32.33834457,8.657326698,20.28599167
1205.078979,13.7145834,338.2747803,51.64215088,30.96437073
1495.289429,18.3596611,90.0324707,63.84783173,22.66491127
837.4736938,6.482941628,353.684021,9.867456436,6.286817551
982.8684082,16.60721397,285.8019409,26.19807053,29.03039551
1669.552612,19.83696556,27.39935875,5.441127777,3.121719122
856,17.60774231,439.3179626,34.66078949,34.28347015
434.921051,7.877497196,1525.175903,31.95564842,31.31156921
928.0263062,16.32752419,337.0114136,49.03452682,17.13113022
411.7894592,16.32226944,1517.137939,36.84940338,23.12929344
1374.289429,21.04001808,12.33843327,2.926446199,3.208815336
1252.052612,7.609004498,30.0028801,47.67551041,19.54999924
1321.736816,21.44421577,0.042374358,6.748113155,6.266981125
378.9473572,16.87294197,1443.019653,26.16547394,22.12442589
1487.368408,19.56748199,50.04557037,26.71836472,14.97796154
1344.105225,19.89884949,43.56304932,6.219651222,6.95289278
1136.526367,12.42635059,145.6788177,56.34602737,23.04205322
1231.473633,13.89510822,368.4290771,45.07079697,35.3664856
1409.631592,14.79653263,191.6008148,57.56348038,28.32017136
1304.421021,18.51527214,111.2776947,20.55513573,34.75740433
1551.447388,18.31179619,119.6383743,44.69283676,17.99201012
364.078949,5.158085823,2222.049316,30.27667618,27.54095459
1468.447388,20.85011864,13.95228004,1.085674882,3.358402252
1633.342163,19.31280899,57.21720123,63.32340622,15.21341801
617.8684082,23.23443031,11.56341457,7.671442032,8.865472794
1060.894775,17.93453979,191.4246368,25.498806,56.27254486
1787.657837,19.15018845,24.03912735,16.27180862,6.024058819
846.8947144,2.733343363,2414.869629,30.18328857,22.33370018
1137.631592,12.97792053,242.8689423,54.19623566,32.82773209
1400.684204,17.18283463,98.18138123,35.79311371,25.87878799
1595.078979,20.12476158,7.098609447,8.263269424,12.72470188
655.1052856,17.71574593,376.3237305,38.68503189,34.60927582
572.3421021,6.747800827,2400.616699,32.32910919,35.8412323
1345.184204,20.3314724,36.36188507,5.351423264,10.16629887
467.4473572,6.053318501,2190.899658,44.99412537,26.46767807
1334.394775,19.3409977,44.1604805,10.21368217,12.42754841
1426.157837,17.58616829,52.50684738,30.56641769,28.58712769
1428.368408,17.61254692,79.55794525,27.07999992,28.63741875
409.8684082,5.953774452,2412.858643,46.16345215,17.12020111
1251.684204,15.7440958,147.5194092,17.40860176,22.87608719
1061.736816,16.39809418,276.1983948,24.29272652,21.33149147
412.1842041,12.6107378,1913.731201,34.90000153,29.10000038
356.9736938,9.619661331,1983.085693,30.19770622,23.78016472
1425.947388,20.34411812,12.17817402,2.163241148,2.182411194
1060.263184,15.36036682,275.1178284,32.36124802,22.87153435
1229.763184,20.03035545,9.688340187,2.162626266,4.339118481
1417.052612,15.3555851,243.0488434,31.07200813,23.61150932
362.2894592,7.570220947,929.7426147,34.70688629,23.82442665
542.2368164,4.466133118,2552.460449,37.73617935,21.6937561
993.1052856,18.68555069,227.9584656,30.73122025,50.97750092
1436.263184,18.62898254,128.092865,10.44811726,13.87759495
439.0526428,6.189468384,1240.381226,32.01716995,14.31349945
1180.473633,18.01813507,74.90530396,8.453167915,15.90110207
751.6842041,4.275180817,2723.656494,32.2374649,32.38723373
1562.368408,15.69071198,255.961792,24.14286995,17.75027847
953.4210815,13.44777679,412.7323914,52.14756775,42.03581238
748.2631836,16.48292923,488.5943909,11.26822758,6.34600544
1267.026367,18.7923336,122.6086121,9.353492737,15.54612446
695.0789185,18.89020157,603.5139771,51.15243149,41.59687805
655.8684082,19.59493828,443.4582825,32.24407578,31.20661163
831.5526123,18.84248734,370.7037354,40.18190765,30.74049568
1170.526367,17.59760284,162.2397461,28.61512947,40.75101471
1147.552612,12.87089825,238.765274,40.62108994,25.30257225
723.4210815,17.59316063,426.2335815,44.70284653,42.28301239
1360.526367,21.88068771,16.08716965,1.373791814,2.728903294
1188.552612,18.20421219,72.05336761,5.557116508,6.246373177
1375.789429,16.0496006,186.4373932,23.8244133,28.2394352
1416.526367,14.51620102,208.5085297,45.23711014,40.93664932
1434.342163,17.96100807,71.53876495,26.60753059,45.02020264
1083.184204,16.51790428,232.256134,44.75298309,26.2118454
1427.736816,15.04164028,172.454071,39.10511017,19.5172863
1607.552612,19.33349037,75.93139648,6.36877346,7.671226501
607.5,11.34488201,1803.896118,28.39948273,48.09110641
1483.368408,18.3141861,99.84321594,10.46253395,32.69091034
866.6315918,20.54046822,175.7735443,26.80991745,52.49403
744.0789185,0.162920192,2482.70166,30,20.20000076
1472.526367,15.3572998,325.9016418,21.00792885,24.49832153
398.2631531,8.859444618,2069.158203,39.76299286,22.58714485
1418.105225,14.55881119,337.316864,35.38402176,27.73186493
1436.052612,18.22984314,78.94186401,23.40686035,23.71494293
1019.078918,12.33521175,268.3053589,63.86271667,30.09292793
713.0263062,13.85460186,596.3599243,19.05114746,14.76730919
1178.394775,17.53219795,136.3601837,11.50847912,30.16875458
1373.578979,22.42917824,24.45304871,2.966023922,3.011386633
549.5526123,21.95609665,164.7982178,11.95381069,21.49485779
393.078949,15.75990391,1468.117798,35.65803528,30.37355423
927.5,18.03419495,235.4435272,23.70789719,21.9308548
1442.736816,15.90273857,174.9763641,47.44274139,28.60517693
1382.947388,14.71188831,281.1867676,36.95916367,36.45392609
606.0789185,17.00415802,766.5515747,37.11368179,29.07603264
280.7631531,10.50059986,2048.194824,24.34986115,32.50045776
1269.447388,18.39036369,57.656147,25.0562439,20.04249763
1351.631592,15.15832043,287.7727051,31.46914673,23.87906265
1395.157837,21.86389923,38.60334015,3.934710741,9.617814064
1862.710571,7.726652145,1430.941528,36.09641647,27.47851181
1096.710571,21.45867538,6.65217495,23.8328743,28.25197411
1212.526367,18.71199799,72.21711731,10.94233704,19.61168671
1253.421021,12.58444214,261.8525391,46.99192047,21.31937599
1057.736816,17.4695816,245.3694,19.09087563,30.63798904
1408.631592,17.25040817,175.3387756,21.29357147,11.72828293
1265.052612,16.70144463,26.03894424,9.980992317,9.752616882
1592.394775,18.32109451,83.63599396,20.33562851,27.15592384
1037.868408,18.64480209,225.3754578,39.91181946,35.16651154
1198.789429,16.39668465,57.36767578,28.53707504,24.29856873
515.4736938,6.067783833,2294.353271,38.45968628,13.72672176
1378.657837,14.55007935,193.0805511,50.92497635,29.13875198
1061.342163,5.139679909,930.888916,45.34012985,13.3292923
1121.184204,13.32310009,311.3066711,50.49053955,42.43930435
926.2368164,20.18053055,141.0278015,21.48714447,27.76611519
1191.578979,14.47416401,44.08914948,22.26584053,18.47465515
1258.447388,18.36092186,26.22285271,13.79296398,15.6154604
1505.342163,19.19989014,25.96367073,37.63547897,52.67096329
482.5526428,7.106253624,2138.765625,46.88962555,17.79843903
729.0789185,16.10690689,478.3520508,49.20082474,29.98861313
1483.526367,19.07421875,29.00871468,37.36032867,56.6681366
812.9473877,14.92175102,218.4617462,51.79999924,29.60000038
496.2631531,8.590676308,2135.140381,30,44
1121.394775,14.63701916,759.2332153,35.69215012,25.32355118
1474.184204,20.64838219,16.07774353,6.323232174,14.72819042
531.9736938,14.33084297,335.7986145,37.00486755,24.84462738
1364.026367,18.6496048,66.32414246,31.90284729,24.01524353
